2025-04-13T00:00: 1,7°C | ■
2025-04-14T23:00: 5,2°C | ■■■■■
2025-04-15T00:00: 4,4°C | ■■■■
2025-04-15T01:00: 3,4°C | ■■■
2025-04-15T02:00: 2,5°C | ■■
2025-04-15T03:00: 2°C | ■■
2025-04-15T04:00: 2,7°C | ■■
2025-04-15T05:00: 5,4°C | ■■■■■
2025-04-15T06:00: 8,2°C | ■■■■■■■■
2025-04-15T07:00: 10,9°C | ■■■■■■■■■■
2025-04-15T08:00: 13°C | ■■■■■■■■■■■■■
2025-04-15T09:00: 14,4°C | ■■■■■■■■■■■■■■
2025-04-15T10:00: 15,4°C | ■■■■■■■■■■■■■■■
2025-04-15T11:00: 16,1°C | ■■■■■■■■■■■■■■■■
2025-04-15T12:00: 16,6°C | ■■■■■■■■■■■■■■■■
2025-04-15T13:00: 16,8°C | ■■■■■■■■■■■■■■■■
2025-04-15T14:00: 16,6°C | ■■■■■■■■■■■■■■■■
2025-04-15T15:00: 16°C | ■■■■■■■■■■■■■■■■
2025-04-15T16:00: 14,5°C | ■■■■■■■■■■■■■■
2025-04-15T17:00: 12,5°C | ■■■■■■■■■■■■
2025-04-15T18:00: 11°C | ■■■■■■■■■■■
2025-04-15T19:00: 10,3°C | ■■■■■■■■■■
2025-04-15T20:00: 9,9°C | ■■■■■■■■■
2025-04-15T21:00: 9,5°C | ■■■■■■■■■
2025-04-15T22:00: 8,8°C | ■■■■■■■■
2025-04-15T23:00: 8°C | ■■■■■■■■
2025-04-16T00:00: 7,1°C | ■■■■■■■
2025-04-16T01:00: 6,2°C | ■■■■■■
2025-04-16T02:00: 5,4°C | ■■■■■
2025-04-16T03:00: 4,4°C | ■■■■
2025-04-16T04:00: 4,6°C | ■■■■
2025-04-16T05:00: 7,5°C | ■■■■■■■
2025-04-16T06:00: 11,5°C | ■■■■■■■■■■■
2025-04-16T07:00: 14,1°C | ■■■■■■■■■■■■■■
2025-04-16T08:00: 16°C | ■■■■■■■■■■■■■■■■
2025-04-16T09:00: 17°C | ■■■■■■■■■■■■■■■■■
2025-04-16T10:00: 17,9°C | ■■■■■■■■■■■■■■■■■
2025-04-16T11:00: 18,6°C | ■■■■■■■■■■■■■■■■■■
2025-04-16T12:00: 18,9°C | ■■■■■■■■■■■■■■■■■■
2025-04-16T13:00: 18,9°C | ■■■■■■■■■■■■■■■■■■
2025-04-16T14:00: 18,6°C | ■■■■■■■■■■■■■■■■■■
2025-04-16T15:00: 18°C | ■■■■■■■■■■■■■■■■■■
2025-04-16T16:00: 16,7°C | ■■■■■■■■■■■■■■■■
2025-04-16T17:00: 14,8°C | ■■■■■■■■■■■■■■
2025-04-16T18:00: 13,5°C | ■■■■■■■■■■■■■
2025-04-16T19:00: 12,9°C | ■■■■■■■■■■■■
2025-04-16T20:00: 12,7°C | ■■■■■■■■■■■■
2025-04-16T21:00: 12,5°C | ■■■■■■■■■■■■
2025-04-16T22:00: 12,2°C | ■■■■■■■■■■■■
2025-04-16T23:00: 12°C | ■■■■■■■■■■■■
2025-04-17T00:00: 11,6°C | ■■■■■■■■■■■
2025-04-17T01:00: 10,8°C | ■■■■■■■■■■
2025-04-17T02:00: 9,8°C | ■■■■■■■■■
2025-04-17T03:00: 9,6°C | ■■■■■■■■■
2025-04-17T04:00: 10,5°C | ■■■■■■■■■■
2025-04-17T05:00: 12,1°C | ■■■■■■■■■■■■
2025-04-17T06:00: 13,7°C | ■■■■■■■■■■■■■
2025-04-17T07:00: 15,2°C | ■■■■■■■■■■■■■■■
2025-04-17T08:00: 16,6°C | ■■■■■■■■■■■■■■■■
2025-04-17T09:00: 17,8°C | ■■■■■■■■■■■■■■■■■
2025-04-17T10:00: 18,7°C | ■■■■■■■■■■■■■■■■■■
2025-04-17T11:00: 19,2°C | ■■■■■■■■■■■■■■■■■■■
2025-04-17T12:00: 19,5°C | ■■■■■■■■■■■■■■■■■■■
2025-04-17T13:00: 19,6°C | ■■■■■■■■■■■■■■■■■■■
2025-04-17T14:00: 19,3°C | ■■■■■■■■■■■■■■■■■■■
2025-04-17T15:00: 18,6°C | ■■■■■■■■■■■■■■■■■■
2025-04-17T16:00: 17,2°C | ■■■■■■■■■■■■■■■■■
2025-04-17T17:00: 15,4°C | ■■■■■■■■■■■■■■■
2025-04-17T18:00: 13,9°C | ■■■■■■■■■■■■■
2025-04-17T19:00: 13°C | ■■■■■■■■■■■■■
2025-04-17T20:00: 12,4°C | ■■■■■■■■■■■■
2025-04-17T21:00: 11,8°C | ■■■■■■■■■■■
2025-04-17T22:00: 10,9°C | ■■■■■■■■■■
2025-04-17T23:00: 10°C | ■■■■■■■■■■
2025-04-18T00:00: 9,2°C | ■■■■■■■■■
2025-04-18T01:00: 8,3°C | ■■■■■■■■
2025-04-18T02:00: 7,4°C | ■■■■■■■
2025-04-18T03:00: 7,4°C | ■■■■■■■
2025-04-18T04:00: 8,7°C | ■■■■■■■■
2025-04-18T05:00: 10,8°C | ■■■■■■■■■■
2025-04-18T06:00: 12,9°C | ■■■■■■■■■■■■
2025-04-18T07:00: 14,8°C | ■■■■■■■■■■■■■■
2025-04-18T08:00: 16,6°C | ■■■■■■■■■■■■■■■■
2025-04-18T09:00: 18°C | ■■■■■■■■■■■■■■■■■■
2025-04-18T10:00: 19°C | ■■■■■■■■■■■■■■■■■■■
2025-04-18T11:00: 19,7°C | ■■■■■■■■■■■■■■■■■■■
2025-04-18T12:00: 20,2°C | ■■■■■■■■■■■■■■■■■■■■
2025-04-18T13:00: 20,2°C | ■■■■■■■■■■■■■■■■■■■■
2025-04-18T14:00: 20°C | ■■■■■■■■■■■■■■■■■■■■
2025-04-18T15:00: 19,2°C | ■■■■■■■■■■■■■■■■■■■
2025-04-18T16:00: 17,5°C | ■■■■■■■■■■■■■■■■■
2025-04-18T17:00: 15,3°C | ■■■■■■■■■■■■■■■
2025-04-18T18:00: 13,4°C | ■■■■■■■■■■■■■
2025-04-18T19:00: 12,3°C | ■■■■■■■■■■■■
2025-04-18T20:00: 11,5°C | ■■■■■■■■■■■
2025-04-18T21:00: 10,8°C | ■■■■■■■■■■
2025-04-18T22:00: 10,1°C | ■■■■■■■■■■
2025-04-18T23:00: 9,5°C | ■■■■■■■■■
2025-04-19T00:00: 8,8°C | ■■■■■■■■
2025-04-19T01:00: 7,6°C | ■■■■■■■
2025-04-19T02:00: 6,4°C | ■■■■■■
2025-04-19T03:00: 6,2°C | ■■■■■■
2025-04-19T04:00: 7,9°C | ■■■■■■■
2025-04-19T05:00: 10,8°C | ■■■■■■■■■■
2025-04-19T06:00: 13,3°C | ■■■■■■■■■■■■■
2025-04-19T07:00: 15,2°C | ■■■■■■■■■■■■■■■
2025-04-19T08:00: 16,7°C | ■■■■■■■■■■■■■■■■
2025-04-19T09:00: 17,9°C | ■■■■■■■■■■■■■■■■■
2025-04-19T10:00: 18,6°C | ■■■■■■■■■■■■■■■■■■
2025-04-19T11:00: 19°C | ■■■■■■■■■■■■■■■■■■■
2025-04-19T12:00: 19,2°C | ■■■■■■■■■■■■■■■■■■■
2025-04-19T13:00: 19,3°C | ■■■■■■■■■■■■■■■■■■■
2025-04-19T14:00: 19,1°C | ■■■■■■■■■■■■■■■■■■■
2025-04-19T15:00: 18,5°C | ■■■■■■■■■■■■■■■■■■
2025-04-19T16:00: 17,3°C | ■■■■■■■■■■■■■■■■■
2025-04-19T17:00: 15,6°C | ■■■■■■■■■■■■■■■
2025-04-19T18:00: 14,2°C | ■■■■■■■■■■■■■■
2025-04-19T19:00: 13,2°C | ■■■■■■■■■■■■■
2025-04-19T20:00: 12,4°C | ■■■■■■■■■■■■
2025-04-19T21:00: 11,6°C | ■■■■■■■■■■■
2025-04-19T22:00: 10,9°C | ■■■■■■■■■■
2025-04-19T23:00: 10,3°C | ■■■■■■■■■■
